CycleTime,ModTime,dt,TskMean,TskHead,TskNeck,TskChest,TskBack,TskPelvis,TskLShoulder,TskLArm,TskLHand,TskRShoulder,TskRArm,TskRHand,TskLThigh,TskLLeg,TskLFoot,TskRThigh,TskRLeg,TskRFoot,TcrHead,TcrNeck,TcrChest,TcrBack,TcrPelvis,TcrLShoulder,TcrLArm,TcrLHand,TcrRShoulder,TcrRArm,TcrRHand,TcrLThigh,TcrLLeg,TcrLFoot,TcrRThigh,TcrRLeg,TcrRFoot,WetMean,WetHead,WetNeck,WetChest,WetBack,WetPelvis,WetLShoulder,WetLArm,WetLHand,WetRShoulder,WetRArm,WetRHand,WetLThigh,WetLLeg,WetLFoot,WetRThigh,WetRLeg,WetRFoot,Wle,CO,Met,RES,THLskHead,THLskNeck,THLskChest,THLskBack,THLskPelvis,THLskLShoulder,THLskLArm,THLskLHand,THLskRShoulder,THLskRArm,THLskRHand,THLskLThigh,THLskLLeg,THLskLFoot,THLskRThigh,THLskRLeg,THLskRFoot
-,sec,sec,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,oC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g/sec,L/h,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
The counts of executing one cycle calculation,Simulation times,Time delta of the model,Mean skin temperature of the body,Skin temperature of the Head,Skin temperature of the Neck,Skin temperature of the Chest,Skin temperature of the Back,Skin temperature of the Pelvis,Skin temperature of the LShoulder,Skin temperature of the LArm,Skin temperature of the LHand,Skin temperature of the RShoulder,Skin temperature of the RArm,Skin temperature of the RHand,Skin temperature of the LThigh,Skin temperature of the LLeg,Skin temperature of the LFoot,Skin temperature of the RThigh,Skin temperature of the RLeg,Skin temperature of the RFoot,Core temperature of the Head,Core temperature of the Neck,Core temperature of the Chest,Core temperature of the Back,Core temperature of the Pelvis,Core temperature of the LShoulder,Core temperature of the LArm,Core temperature of the LHand,Core temperature of the RShoulder,Core temperature of the RArm,Core temperature of the RHand,Core temperature of the LThigh,Core temperature of the LLeg,Core temperature of the LFoot,Core temperature of the RThigh,Core temperature of the RLeg,Core temperature of the RFoot,Mean skin wettedness of the body,Local skin wettedness of the Head,Local skin wettedness of the Neck,Local skin wettedness of the Chest,Local skin wettedness of the Back,Local skin wettedness of the Pelvis,Local skin wettedness of the LShoulder,Local skin wettedness of the LArm,Local skin wettedness of the LHand,Local skin wettedness of the RShoulder,Local skin wettedness of the RArm,Local skin wettedness of the RHand,Local skin wettedness of the LThigh,Local skin wettedness of the LLeg,Local skin wettedness of the LFoot,Local skin wettedness of the RThigh,Local skin wettedness of the RLeg,Local skin wettedness of the RFoot,Weight loss rate by the evaporation and respiration of the whole body,Cardiac output (the sum of the whole blood flow),Total heat production of the whole body,Heat loss by the respiration,Heat loss from the skin of the Head,Heat loss from the skin of the Neck,Heat loss from the skin of the Chest,Heat loss from the skin of the Back,Heat loss from the skin of the Pelvis,Heat loss from the skin of the LShoulder,Heat loss from the skin of the LArm,Heat loss from the skin of the LHand,Heat loss from the skin of the RShoulder,Heat loss from the skin of the RArm,Heat loss from the skin of the RHand,Heat loss from the skin of the LThigh,Heat loss from the skin of the LLeg,Heat loss from the skin of the LFoot,Heat loss from the skin of the RThigh,Heat loss from the skin of the RLeg,Heat loss from the skin of the RFoot
8,0:08:00,60,19.59696845250162,25.09682347627786,23.508997271829568,20.773331632436353,16.410646679421376,30.64016510900049,16.482580785511793,16.492565658705836,18.974261194506,16.482580785511743,16.492565658705697,18.974261194505946,16.888750216247068,16.237289137728094,20.34827379766932,16.888750216247086,16.23728913772792,20.348273797669332,36.76334812915416,36.22233912189885,36.51379677926956,36.67482523826953,37.02617952543435,34.5812554248933,33.901133524004095,25.127073241319373,34.58125542489325,33.901133524003946,25.127073241319312,35.598704501117965,35.19789455523156,25.241076788229005,35.59870450111798,35.19789455523126,25.241076788229012,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.013737285311984215,327.03101130965916,178.54393667734422,33.61044192007347,46.68300224365742,11.902952250096918,54.60238801925644,62.54457324244365,92.22067827438482,35.69721305840713,22.76948361250239,20.642333969686863,35.69721305840709,22.76948361250232,20.642333969686838,72.85716201509659,39.730208801589065,25.0794546140916,72.8571620150966,39.73020880158891,25.079454614091603
9,0:09:00,60,18.7537045813667,24.715598977408263,23.181369033280188,19.784448031590877,15.254150727207442,30.33566262224842,15.764725383214364,15.74268099047077,17.769282321200084,15.764725383214323,15.742680990470644,17.76928232120003,15.933441513819945,15.26176237745906,19.218034112171814,15.933441513819957,15.261762377458886,19.218034112171825,36.71103784020445,36.20577115654385,36.463862920452605,36.64084194956674,37.01008153587184,34.33564193906877,33.6190252082252,23.869031255300378,34.33564193906873,33.61902520822507,23.869031255300325,35.44137229316142,35.03055493071411,24.04341946036667,35.441372293161436,35.0305549307138,24.043419460366675,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.014278610027643093,345.1363978315234,199.70239976317185,37.593468775526844,46.201246853873606,11.797813048572884,53.334685693554604,60.64369300175097,91.6526374481789,34.97548998223445,22.292155450647623,20.06411854348169,34.975489982234414,22.292155450647552,20.064118543481666,71.01580299792856,38.69437852150481,24.457264106585345,71.0158029979286,38.69437852150465,24.45726410658535
10,0:10:00,60,18.025290626256005,24.469067631545705,22.936477668528788,18.909527790744786,14.25129175126357,30.06208230282678,15.17531350739532,15.122063211095155,16.63694845690782,15.175313507395282,15.122063211095037,16.636948456907763,15.12031288761041,14.432110936510773,18.136816368055005,15.120312887610424,14.432110936510595,18.136816368055005,36.660845424704206,36.19636036886283,36.414317022976995,36.60852600460854,36.991635457899854,34.090902339866474,33.335405204939306,22.6721617504378,34.090902339866425,33.335405204939164,22.672161750437752,35.28039997906387,34.8585528344981,22.89007599470712,35.28039997906387,34.8585528344978,22.890075994707125,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.014933495299025141,364.2902116868272,222.0517772453509,41.800682236782926,45.85210641677631,11.719162002408634,52.21648378164436,59.00259666848983,91.14259017890559,34.391094434859916,21.90319708088335,19.526274212185054,34.391094434859895,21.903197080883285,19.52627421218503,69.45761097931451,37.818591314947454,23.86610540850773,69.45761097931452,37.8185913149473,23.866105408507742
11,0:11:00,60,17.393286180820457,24.342074832726354,22.753986329290452,18.135309212381614,13.381532335018353,29.81662526059355,14.685183669488053,14.60105309285974,15.5695758068667,14.68518366948803,14.601053092859617,15.569575806866656,14.425711586677135,13.723697933839366,17.10074495167543,14.425711586677147,13.723697933839182,17.100744951675434,36.61446625795942,36.192666608311036,36.36627467261351,36.578605997113314,36.97144317283049,33.84905044486429,33.05239804916163,21.536375908372904,33.849050444864254,33.05239804916147,21.536375908372857,35.11706476815652,34.683100642627906,21.781524214166698,35.117064768156524,34.6831006426276,21.781524214166698,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.015649654196459067,383.6980087646142,244.6773442907455,46.05988768077524,45.62659133557238,11.660432714345658,51.22958602874196,57.58449314231568,90.68496321583872,33.91218371094468,21.581933548109316,19.022949557822635,33.91218371094465,21.58193354810925,19.022949557822614,68.13433539310053,37.07525375484518,23.302243437647604,68.13433539310056,37.07525375484502,23.302243437647604
12,0:12:00,60,16.84222929645682,24.314791079039345,22.618514717000007,17.450101723875324,12.627125084438573,29.596725779782158,14.27206791896715,14.157020532366182,14.561778438560026,14.272067918967132,14.157020532366074,14.561778438559983,13.829911536253215,13.116030280727857,16.107283627470316,13.829911536253222,13.11603028072768,16.107283627470313,36.57301778141974,36.19316481313907,36.32077052032953,36.55159830761173,36.95011638226977,33.6115977858444,32.77163455768731,20.460332990740213,33.61159778584437,32.77163455768716,20.460332990740163,34.95244225006301,34.50521099361388,20.717392164432724,34.95244225006302,34.50521099361358,20.717392164432724,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.016381120724874736,402.62491342032274,266.7302059504668,50.21128279269635,45.51050565609028,11.61670094792468,50.358111233666136,56.35816730962571,90.27487683809164,33.51455644298062,21.312669904438028,18.550261963390437,33.5145564429806,21.31266990443796,18.550261963390412,67.00605653040284,36.4415819159834,22.763370910696732,67.00605653040286,36.44158191598323,22.763370910696736
13,0:13:00,60,16.35910756473819,24.365077294513608,22.518384653450696,16.843613854692293,11.972729983990813,29.399985068622655,13.918982866112817,13.772720655779642,13.60945037791626,13.918982866112804,13.77272065577953,13.609450377916223,13.316492000214428,12.592086560055677,15.154544867584823,13.31649200021443,12.592086560055503,15.154544867584821,36.53700748071228,36.19641045570807,36.27860984925535,36.527759983291425,36.928207782873024,33.37963625273892,32.49433707885967,19.441947358381753,33.379636252738884,32.49433707885954,19.44194735838171,34.787427256562765,34.3257282995299,19.6967431160241,34.78742725656278,34.325728299529615,19.696743116024102,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.017091661761921513,420.48704250507416,287.53509697073076,54.12775060618313,45.48557240963683,11.584254884397595,49.58821365868763,55.29705518794451,89.90788539673996,33.17983148676263,21.083496640929773,18.105448960663043,33.179831486762616,21.083496640929717,18.105448960663022,66.03976135827797,35.898764021568475,22.247925969370012,66.03976135827799,35.89876402156832,22.247925969370012
14,0:14:00,60,15.932987739406586,24.470998242100382,22.44470266725262,16.306782933634853,11.405076086756317,29.224146896524445,13.61297754075711,13.43501858893141,12.709196110290058,13.612977540757099,13.43501858893131,12.709196110290026,12.871800350775395,12.137743008602053,14.240924679765113,12.8718003507754,12.137743008601879,14.240924679765117,36.50640838800979,36.20114845557843,36.24028446555151,36.50708960961047,36.90617074266958,33.15391309265673,32.221395088400755,18.478709165446848,33.15391309265668,32.22139508840062,18.4787091654468,34.62275320719701,34.145354235089314,18.718270293404718,34.62275320719701,34.14535423508903,18.718270293404718,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.017756456813795674,436.89959063354985,306.6470841298133,57.725533574015735,45.53152841268963,11.560283085879497,48.907815698101594,54.37847979989779,89.57985787035483,32.89404676374744,20.885376068239022,17.686387061918524,32.89404676374744,20.885376068238962,17.686387061918513,65.20815057837285,35.4312659716108,21.754719948018998,65.20815057837287,35.43126597161064,21.754719948018998
15,0:15:00,60,15.554729299198776,24.612817800131268,22.390689084357415,15.831617122332556,10.91266879594325,29.067094651120566,13.344168722747254,13.133908338214917,11.858022631779846,13.344168722747234,13.133908338214809,11.858022631779805,12.484494268740699,11.74128837979065,13.364924009130204,12.484494268740699,11.741288379790474,13.364924009130204,36.48079879792387,36.20637487907057,36.205963639952365,36.48937271565989,36.8843460066948,32.93490110730104,31.953433711794787,17.567900474129836,32.93490110730098,31.953433711794638,17.567900474129786,34.459011998332045,33.964669313970816,17.780444313683994,34.45901199833205,33.96466931397054,17.78044431368399,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.018361797457546854,451.6795409151362,323.8551527381561,60.96490871763962,45.628356555279524,11.542648429814273,48.30636323532853,53.58302145171497,89.28693031749832,32.64658837038096,20.71144641239886,17.291322012452927,32.64658837038096,20.71144641239881,17.291322012452916,64.48864671548682,35.02625771106183,21.282740415592883,64.48864671548684,35.026257711061675,21.282740415592887
16,0:16:00,60,15.216738215452827,24.77418638831731,22.351183791616158,15.411055541068098,10.485540333180337,28.926857391122503,13.105003131811928,12.861762430900137,11.053182356743891,13.105003131811905,12.861762430900018,11.053182356743848,12.145155276460187,11.393016630742022,12.525075204507596,12.145155276460189,11.393016630741851,12.525075204507594,36.459518692314724,36.211356486776154,36.175543481068395,36.47425278102858,36.862967887402476,32.722862978725416,31.69087486432734,16.706744924296974,32.722862978725374,31.690874864327203,16.706744924296924,34.296674560862854,33.78415178750253,16.881627962284256,34.296674560862854,33.78415178750226,16.881627962284245,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01890327678752098,464.81453517686435,339.14625593860615,63.8434199993828,45.75806170279105,11.529723948832908,47.77460969836415,52.894000397192976,89.02549533363788,32.42937607602303,20.556493359055143,16.918721285566114,32.42937607602301,20.55649335905509,16.918721285566093,63.86257261563015,34.67314019811746,20.831053948886098,63.86257261563015,34.673140198117316,20.831053948886098
17,0:17:00,60,14.912741974244815,24.94254688964603,22.322276783270947,15.038848203183319,10.115038711318041,28.80161732014242,12.88969604522984,12.61276046912423,10.292100153534523,12.889696045229819,12.61276046912411,10.292100153534479,11.845964523823396,11.08488644061256,11.71992427392892,11.845964523823392,11.084886440612392,11.719924273928918,36.441808277273616,36.215615711185755,36.148726192209374,36.46130584828363,36.84218119229934,32.517907402567936,31.43398968983302,15.892509241660722,32.5179074025679,31.433989689832885,15.89250924166067,34.13611112092334,33.60419440326453,16.020162327086258,34.13611112092334,33.60419440326427,16.02016232708625,0.05999999999999999,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.01938324562810777,476.41497821123954,352.64976681923105,66.3854215739897,45.90573019378021,11.520272560705383,47.30443102920466,52.29705281840119,88.7922074350869,32.236246156962295,20.41654973029495,16.567196684437338,32.236246156962274,20.41654973029489,16.56719668443732,63.31447259901253,34.36315555303912,20.39876471620038,63.31447259901253,34.363155553038965,20.398764716200375
